pc_brand,pc_model,elt_condition,elt_warranty,desktop_screen_size,pc_cpu,pc_ram,pc_vga,pc_drive_capacity,elt_origin,usage_information,classify,price
,,Đã sử dụng (qua sửa chữa),Còn bảo hành,>= 21 inch,Intel Core i3,16 GB,AMD,128 GB,Đang cập nhật,In trên bao bì,desktop,12.500.000 đ
,,Đã sử dụng (qua sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,desktop,6.990.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,3.300.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Xeon,,NVIDIA,512 GB,Đang cập nhật,In trên bao bì,desktop,5.000.000 đ
,,Mới,Bảo hành hãng,>= 21 inch,Intel Core i5,,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,6.950.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,512 GB,Mỹ,In trên bao bì,desktop,5.700.000 đ
,,Đã sử dụng (qua sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i3,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,3.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Core i3,16 GB,AMD,256 GB,Nước khác,In trên bao bì,desktop,8.600.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,AMD,16 GB,NVIDIA,> 1 TB,Việt Nam,In trên bao bì,desktop,11.000.000 đ
,,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,256 GB,Nước khác,In trên bao bì,desktop,6.990.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,5.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,NVIDIA,< 128 GB,Đang cập nhật,In trên bao bì,desktop,5.000.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,250 GB,Việt Nam,In trên bao bì,desktop,3.900.000 đ
,,Đã sử dụng (chưa sửa chữa),7-12 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,500 GB,Đang cập nhật,In trên bao bì,desktop,8.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Xeon,32 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,8.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i5,16 GB,AMD,250 GB,Đang cập nhật,In trên bao bì,desktop,5.100.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,4 GB,Onboard,500 GB,Đang cập nhật,In trên bao bì,desktop,1.000.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i9,> 32GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,desktop,13.000.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i7,8 GB,AMD,< 128 GB,Trung Quốc,In trên bao bì,desktop,3.850.000 đ
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,,Intel Atom,2 GB,NVIDIA,< 128 GB,Đang cập nhật,In trên bao bì,desktop,500.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,19 - 20.9 inch,Intel Core i7,8 GB,Onboard,< 128 GB,Đang cập nhật,In trên bao bì,desktop,3.700.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Pentium,8 GB,,128 GB,Nhật Bản,In trên bao bì,desktop,1.700.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,4.000.000 đ
,,Mới,Còn bảo hành,,Intel Xeon,32 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,4.600.000 đ
,,Mới,Bảo hành hãng,,Intel Xeon,32 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,7.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Intel Core 2 Duo,4 GB,,256 GB,Đang cập nhật,In trên bao bì,desktop,1.000.000 đ
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,19 - 20.9 inch,Intel Celeron,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,1.800.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,AMD,1 TB,Đang cập nhật,In trên bao bì,desktop,8.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,900.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,3.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,4.500.000 đ
,,Mới,Còn bảo hành,,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,3.150.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,AMD,16 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,7.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,7.180.000 đ
,,Đã sử dụng (qua sửa chữa),Còn bảo hành,>= 21 inch,Intel Core i3,8 GB,Onboard,250 GB,Mỹ,In trên bao bì,desktop,4.100.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,7.500.000 đ
,,Mới,Bảo hành hãng,,Intel Core i3,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,5.750.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,10.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Xeon,,,,Đang cập nhật,In trên bao bì,desktop,4.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Core i9,32 GB,Khác,1 TB,Đang cập nhật,In trên bao bì,desktop,52.000.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,2.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,19 - 20.9 inch,Khác,6 GB,Khác,250 GB,Nước khác,In trên bao bì,desktop,2.300.000 đ
,,Mới,Bảo hành hãng,,Intel Pentium,8 GB,,256 GB,Nước khác,In trên bao bì,desktop,4.600.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,19 - 20.9 inch,Khác,4 GB,Khác,250 GB,Nước khác,In trên bao bì,desktop,2.360.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,7.970.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Không bán kèm màn hình,Intel Core i3,2 GB,Onboard,< 128 GB,Việt Nam,In trên bao bì,desktop,5.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Xeon,32 GB,AMD,256 GB,Đang cập nhật,In trên bao bì,desktop,6.500.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Xeon,32 GB,AMD,250 GB,Mỹ,In trên bao bì,desktop,7.500.000 đ
,,Mới,7-12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Mỹ,In trên bao bì,desktop,6.950.000 đ
,,Đã sử dụng (chưa sửa chữa),4-6 tháng,Không bán kèm màn hình,Ryzen 5,32 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,12.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Pentium,4 GB,Onboard,< 128 GB,Đang cập nhật,In trên bao bì,desktop,1.500.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,2.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Không bán kèm màn hình,Intel Xeon,> 32GB,NVIDIA,512 GB,Đang cập nhật,In trên bao bì,desktop,13.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,Onboard,128 GB,Mỹ,In trên bao bì,desktop,1.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Khác,8 GB,Khác,256 GB,Thái Lan,In trên bao bì,desktop,10.800.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i5,8 GB,Khác,256 GB,Đang cập nhật,In trên bao bì,desktop,7.000.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,< 128 GB,Việt Nam,In trên bao bì,desktop,8.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,17 - 18.9 inch,Intel Core i3,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,3.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Xeon,32 GB,NVIDIA,250 GB,Đang cập nhật,In trên bao bì,desktop,2.400.000 đ
,,Đã sử dụng (chưa sửa chữa),2 tháng,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,250 GB,Việt Nam,In trên bao bì,desktop,3.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,8 GB,,250 GB,Đang cập nhật,In trên bao bì,desktop,2.300.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,16 GB,,256 GB,Đang cập nhật,In trên bao bì,desktop,2.650.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Core i7,16 GB,NVIDIA,250 GB,Đang cập nhật,In trên bao bì,desktop,800.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,512 GB,Đang cập nhật,In trên bao bì,desktop,22.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,8 GB,,128 GB,Đang cập nhật,In trên bao bì,desktop,3.300.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Core i3,8 GB,,128 GB,Đang cập nhật,In trên bao bì,desktop,3.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,1.350.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Xeon,32 GB,AMD,256 GB,Đang cập nhật,In trên bao bì,desktop,5.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,4 GB,,128 GB,Đang cập nhật,In trên bao bì,desktop,2.500.000 đ
,,Mới,2 tháng,>= 21 inch,Intel Core i5,8 GB,AMD,256 GB,Việt Nam,In trên bao bì,desktop,6.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i5,8 GB,,128 GB,Việt Nam,In trên bao bì,desktop,2.700.000 đ
,,Đã sử dụng (chưa sửa chữa),7-12 tháng,>= 21 inch,Intel Core i5,16 GB,Khác,500 GB,Đang cập nhật,In trên bao bì,desktop,9.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,4 GB,,500 GB,Đang cập nhật,In trên bao bì,desktop,750.000 đ
,,,,,,,,,,,desktop,
,,Mới,>12 tháng,,Intel Core i5,16 GB,AMD,256 GB,Việt Nam,In trên bao bì,desktop,11.900.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,,Intel Core i5,8 GB,,500 GB,Đang cập nhật,In trên bao bì,desktop,1.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,16 GB,,256 GB,Đang cập nhật,In trên bao bì,desktop,3.800.000 đ
,,Mới,Bảo hành hãng,,,,,,Việt Nam,In trên bao bì,desktop,30.000.000 đ
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,6.500.000 đ
,,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,5.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Khác,,,,Đang cập nhật,In trên bao bì,desktop,9.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,>= 21 inch,Intel Core i3,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,desktop,4.490.000 đ
,,Mới,Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,20.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,17 - 18.9 inch,Intel Pentium,4 GB,,250 GB,Đang cập nhật,In trên bao bì,desktop,850.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,8 GB,,250 GB,Đang cập nhật,In trên bao bì,desktop,2.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Core i3,16 GB,NVIDIA,250 GB,Việt Nam,In trên bao bì,desktop,5.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,17 - 18.9 inch,Intel Pentium,4 GB,Khác,128 GB,Việt Nam,In trên bao bì,desktop,1.299.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,8 GB,NVIDIA,,Đang cập nhật,In trên bao bì,desktop,2.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Intel Core i3,4 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,2.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,4 GB,Onboard,500 GB,Đang cập nhật,In trên bao bì,desktop,2.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,desktop,4.650.000 đ
,,Mới,3 tháng,,Intel Xeon,8 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,5.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,,,,,Đang cập nhật,In trên bao bì,desktop,5.000.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,3.200.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i3,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,4.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Khác,16 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,desktop,23.900.000 đ
,,Mới,Bảo hành hãng,,,,,,Việt Nam,In trên bao bì,desktop,6.750.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,3.800.000 đ
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,,Intel Core i5,,,,Đang cập nhật,In trên bao bì,desktop,250.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,AMD,,,,Đang cập nhật,In trên bao bì,desktop,2.500.000 đ
,,Mới,>12 tháng,Không bán kèm màn hình,Intel Core i9,32 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,desktop,17.990.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,19 - 20.9 inch,Intel Core i5,8 GB,,128 GB,Việt Nam,In trên bao bì,desktop,2.700.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),3 tháng,>= 21 inch,Intel Core i5,8 GB,Onboard,500 GB,Đang cập nhật,In trên bao bì,desktop,3.800.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,> 1 TB,Việt Nam,In trên bao bì,desktop,12.500.000 đ
,,Mới,Bảo hành hãng,,Intel Xeon,> 32GB,NVIDIA,1 TB,Nước khác,In trên bao bì,desktop,15.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,8 GB,NVIDIA,500 GB,Việt Nam,In trên bao bì,desktop,320.000 đ
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,2.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,8 GB,,512 GB,Đang cập nhật,In trên bao bì,desktop,3.100.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,,,,,Đang cập nhật,In trên bao bì,desktop,1.300.000 đ
,,Mới,7-12 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,desktop,5.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,,Intel Core i3,16 GB,NVIDIA,250 GB,Việt Nam,In trên bao bì,desktop,9.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,8 GB,,> 1 TB,Đang cập nhật,In trên bao bì,desktop,10.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,6.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i3,8 GB,Khác,< 128 GB,Việt Nam,In trên bao bì,desktop,10.000.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,19 - 20.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,7.300.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Core i3,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,5.200.000 đ
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,19 - 20.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Đang cập nhật,In trên bao bì,desktop,2.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,19 - 20.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,7.000.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,16 GB,Khác,128 GB,Việt Nam,In trên bao bì,desktop,6.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,7.900.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,19 - 20.9 inch,Intel Celeron,4 GB,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,2.300.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i3,4 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,2.100.000 đ
,,Mới,Bảo hành hãng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Đang cập nhật,In trên bao bì,desktop,4.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,6.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,600.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,1.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,250 GB,Đang cập nhật,In trên bao bì,desktop,3.200.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,8 GB,,,Đang cập nhật,In trên bao bì,desktop,2.500.000 đ
,,Đã sử dụng (chưa sửa chữa),7-12 tháng,>= 21 inch,Intel Core i5,,Onboard,128 GB,Việt Nam,In trên bao bì,desktop,6.500.000 đ
,,Đã sử dụng (qua sửa chữa),Bảo hành hãng,,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,2.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i5,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,5.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,3.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Xeon,8 GB,,256 GB,Đang cập nhật,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,17 - 18.9 inch,Intel Core i5,8 GB,,128 GB,Đang cập nhật,In trên bao bì,desktop,2.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,17 - 18.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Đài Loan,In trên bao bì,desktop,2.500.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,> 32GB,NVIDIA,256 GB,Nước khác,In trên bao bì,desktop,9.600.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Xeon,16 GB,Khác,256 GB,Mỹ,In trên bao bì,desktop,2.999.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,8.600.000 đ
,,Mới,Còn bảo hành,Không bán kèm màn hình,Intel Xeon,> 32GB,NVIDIA,256 GB,Nước khác,In trên bao bì,desktop,7.300.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,,Intel Core i7,16 GB,Khác,> 1 TB,Việt Nam,In trên bao bì,desktop,6.200.000 đ
,,,,,,,,,,,desktop,
,,Mới,Bảo hành hãng,,Intel Core i5,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,6.350.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,2 GB,,,Đang cập nhật,In trên bao bì,desktop,1.800.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,Không bán kèm màn hình,Intel Core i5,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,desktop,2.900.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,3.450.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,9.700.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,desktop,3.300.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Xeon,16 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,desktop,5.650.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,< 128 GB,Nước khác,In trên bao bì,desktop,4.000.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,8.500.000 đ
,,Mới,>12 tháng,>= 21 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,8.500.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,17 - 18.9 inch,Intel Core i5,8 GB,NVIDIA,< 128 GB,Việt Nam,In trên bao bì,desktop,1.900.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),7-12 tháng,Không bán kèm màn hình,Intel Xeon,32 GB,NVIDIA,512 GB,Nhật Bản,In trên bao bì,desktop,11.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,>= 21 inch,Intel Core i5,8 GB,AMD,128 GB,Nhật Bản,In trên bao bì,desktop,15.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i3,4 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,desktop,2.200.000 đ
,,Đã sử dụng (chưa sửa chữa),7-12 tháng,Không bán kèm màn hình,Khác,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,desktop,11.900.000 đ
,,Đã sử dụng (chưa sửa chữa),3 tháng,,Intel Core i3,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,desktop,2.600.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,,Intel Core i3,4 GB,,128 GB,Việt Nam,In trên bao bì,desktop,900.000 đ
,,,,,,,,,,,desktop,
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Không bán kèm màn hình,Intel Core i7,32 GB,NVIDIA,1 TB,Đang cập nhật,In trên bao bì,desktop,18.800.000 đ
,,Đã sử dụng (chưa sửa chữa),1 tháng,Không bán kèm màn hình,Intel Core i5,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,desktop,7.300.000 đ
,,Đã sử dụng (chưa sửa chữa),>12 tháng,Không bán kèm màn hình,Intel Xeon,> 32GB,NVIDIA,512 GB,Đang cập nhật,In trên bao bì,desktop,8.600.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,4.650.000 đ
,,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,Khác,< 128 GB,Nước khác,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,2.700.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,4.500.000 đ
,,Đã sử dụng (chưa sửa chữa),Còn bảo hành,19 - 20.9 inch,Intel Core i5,8 GB,Onboard,< 128 GB,Đang cập nhật,In trên bao bì,desktop,4.800.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,3.000.000 đ
,,Mới,4-6 tháng,>= 21 inch,,32 GB,NVIDIA,,Trung Quốc,In trên bao bì,desktop,4.000.000 đ
,,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,,,,,,Đang cập nhật,In trên bao bì,desktop,250.000 đ
,,,,,,,,,,,desktop,
