Tình trạng,Hãng,Bộ vi xử lý,RAM,Ổ cứng,Loại ổ cứng,Card màn hình,Kích cỡ màn hình,Chính sách bảo hành,Xuất xứ,Giá
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i5,8 GB,256 GB,,,,Bảo hành hãng,Đang cập nhật,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Pentium,4 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Trung Quốc,1.950.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,1.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,8 GB,512 GB,,,,Bảo hành hãng,Đang cập nhật,18.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,7.200.000 đ
Mới,Dell,Intel Core i9,> 32GB,> 1 TB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Mỹ,71.000.000 đ
Đã sử dụng (qua sửa chữa),Dell,Intel Core i7,32 GB,1 TB,,NVIDIA,15 - 16.9 inch,3 tháng,Nhật Bản,17.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,,,,,,,Bảo hành hãng,Đang cập nhật,7.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,5.300.000 đ
Mới,Dell,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,12.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,250 GB,,Onboard,11 - 12.9 inch,1 tháng,Đang cập nhật,6.700.000 đ
Mới,Asus,Intel Core i5,16 GB,512 GB,,Onboard,15 - 16.9 inch,Còn bảo hành,Việt Nam,15.700.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,AMD,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,19.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,16 GB,256 GB,,AMD,15 - 16.9 inch,1 tháng,Đang cập nhật,14.700.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,4.300.000 đ
Mới,Asus,Intel Core i5,16 GB,512 GB,,Onboard,15 - 16.9 inch,Còn bảo hành,Việt Nam,13.800.000 đ
Đã sử dụng (chưa sửa chữa),Asus,,,,,,,Bảo hành hãng,Đang cập nhật,23.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,512 GB,,,15 - 16.9 inch,7-12 tháng,Nước khác,11.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,,,,Onboard,13 - 14.9 inch,1 tháng,Đang cập nhật,3.650.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,16 GB,,,,,Bảo hành hãng,Đang cập nhật,21.490.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,8 GB,,,,,Bảo hành hãng,Đang cập nhật,15.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,4 GB,1 TB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,2.550.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,128 GB,,Onboard,13 - 14.9 inch,1 tháng,Đang cập nhật,1.600.000 đ
Đã sử dụng (chưa sửa chữa),Asus,,,,,,,Bảo hành hãng,Đang cập nhật,14.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,256 GB,,Onboard,11 - 12.9 inch,Bảo hành hãng,Đang cập nhật,7.990.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,16 GB,512 GB,,Onboard,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,13.990.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i3,4 GB,256 GB,,Onboard,15 - 16.9 inch,Hết bảo hành,Việt Nam,1.999.999 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,32 GB,512 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,10.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,10.500.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,8 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,1.800.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,9.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,8.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,16 GB,500 GB,,AMD,15 - 16.9 inch,3 tháng,Nhật Bản,18.000.000 đ
Mới,Lenovo,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,3.400.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,15.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,5.300.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i7,8 GB,256 GB,,Khác,11 - 12.9 inch,Còn bảo hành,Nước khác,4.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,8 GB,256 GB,,,,4-6 tháng,Đang cập nhật,12.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Nhật Bản,4.600.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,6.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,4 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,2.400.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,16 GB,512 GB,,Onboard,11 - 12.9 inch,Hết bảo hành,Trung Quốc,5.400.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,6 GB,128 GB,,Onboard,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,1.750.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,1 TB,,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,14.700.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Nhật Bản,10.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,6.200.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,128 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Đang cập nhật,3.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,,,Bảo hành hãng,Đang cập nhật,6.000.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Nhật Bản,7.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,15.500.000 đ
Mới,Dell,Intel Core i5,8 GB,250 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,4.600.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,Onboard,,7-12 tháng,Đang cập nhật,15.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Việt Nam,2.200.000 đ
Mới,Dell,Intel Core i5,8 GB,128 GB,,Onboard,15 - 16.9 inch,3 tháng,Đang cập nhật,5.300.000 đ
Đã sử dụng (qua sửa chữa),Acer,Intel Core i3,6 GB,128 GB,,Onboard,17 - 18.9 inch,Hết bảo hành,Đang cập nhật,2.200.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,4 GB,128 GB,,Onboard,13 - 14.9 inch,1 tháng,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,4-6 tháng,Mỹ,17.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Xeon,32 GB,512 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,19.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,512 GB,,,13 - 14.9 inch,Bảo hành hãng,Mỹ,4.250.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,32 GB,512 GB,,NVIDIA,17 - 18.9 inch,3 tháng,Mỹ,14.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,256 GB,,,13 - 14.9 inch,3 tháng,Mỹ,8.888.888 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,250 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Đang cập nhật,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Ryzen 5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,7.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,32 GB,1 TB,,Khác,17 - 18.9 inch,Hết bảo hành,Mỹ,16.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Celeron,2 GB,128 GB,,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,2.200.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,4 GB,128 GB,,,11 - 12.9 inch,1 tháng,Nhật Bản,2.700.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,,128 GB,,NVIDIA,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,2.600.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Việt Nam,13.500.000 đ
Đã sử dụng (qua sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,9.000.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,500 GB,,Onboard,11 - 12.9 inch,Còn bảo hành,Đang cập nhật,3.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,8 GB,128 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Việt Nam,6.300.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Ryzen 5,32 GB,512 GB,,AMD,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,12.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,3.900.000 đ
Mới,Lenovo,Intel Core i7,32 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Mỹ,24.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,4.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,250 GB,,Onboard,15 - 16.9 inch,Hết bảo hành,Việt Nam,1.500.000 đ
Đã sử dụng (chưa sửa chữa),Samsung,Intel Core i7,8 GB,128 GB,,Khác,15 - 16.9 inch,Bảo hành hãng,Việt Nam,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,16 GB,512 GB,,Onboard,15 - 16.9 inch,3 tháng,Đang cập nhật,33.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,16 GB,1 TB,,AMD,15 - 16.9 inch,1 tháng,Mỹ,11.490.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,6.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,12.700.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,7-12 tháng,Mỹ,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,33.990.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,8 GB,256 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,18.400.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,6.200.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,512 GB,,Onboard,13 - 14.9 inch,3 tháng,Nhật Bản,10.200.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,4 GB,640 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,1.250.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,4 GB,128 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.400.000 đ
Đã sử dụng (qua sửa chữa),Dell,Intel Core i5,4 GB,< 128 GB,,,,Bảo hành hãng,Đang cập nhật,1.650.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,128 GB,,Onboard,15 - 16.9 inch,1 tháng,Việt Nam,3.000.000 đ
Đã sử dụng (qua sửa chữa),Asus,Intel Core i3,8 GB,128 GB,,Khác,,Bảo hành hãng,Đang cập nhật,1.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Xeon,16 GB,500 GB,,NVIDIA,,Bảo hành hãng,Đang cập nhật,7.700.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,4.950.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,,,Onboard,11 - 12.9 inch,Bảo hành hãng,Đang cập nhật,4.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,16.800.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,5.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,,,,,,,Bảo hành hãng,Đang cập nhật,2.400.000 đ
Đã sử dụng (chưa sửa chữa),Acer,,,,,,,Bảo hành hãng,Đang cập nhật,8.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,7.890.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,,256 GB,,Onboard,11 - 12.9 inch,Bảo hành hãng,Đang cập nhật,3.800.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,4-6 tháng,Đang cập nhật,13.800.000 đ
Đã sử dụng (chưa sửa chữa),HP,,,,,,,Bảo hành hãng,Đang cập nhật,11.999.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,128 GB,,,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,3.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,500 GB,,NVIDIA,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.100.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Ryzen 7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Việt Nam,16.999.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Intel Core i5,4 GB,512 GB,,Khác,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,1.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,8 GB,750 GB,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,3.200.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,4-6 tháng,Việt Nam,7.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i7,8 GB,256 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,7.800.000 đ
Đã sử dụng (qua sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,1.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,512 GB,,Khác,13 - 14.9 inch,3 tháng,Việt Nam,8.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,128 GB,,NVIDIA,15 - 16.9 inch,1 tháng,Việt Nam,5.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Ryzen 7,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Đang cập nhật,17.999.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,>12 tháng,Việt Nam,13.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Xeon,32 GB,512 GB,,NVIDIA,17 - 18.9 inch,3 tháng,Đang cập nhật,15.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,250 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,999.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i7,16 GB,512 GB,,Onboard,,Bảo hành hãng,Đang cập nhật,12.500.000 đ
Mới,Acer,Ryzen 5,16 GB,512 GB,,NVIDIA,,Bảo hành hãng,Trung Quốc,12.800.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,16 GB,256 GB,,AMD,15 - 16.9 inch,Hết bảo hành,Đang cập nhật,11.500.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i7,8 GB,256 GB,,Onboard,15 - 16.9 inch,1 tháng,Nhật Bản,6.999.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Intel Core i5,8 GB,256 GB,,Onboard,11 - 12.9 inch,1 tháng,Nhật Bản,3.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,8 GB,256 GB,,AMD,17 - 18.9 inch,Bảo hành hãng,Đang cập nhật,4.800.000 đ
Đã sử dụng (chưa sửa chữa),Asus,AMD,4 GB,1 TB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,3.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,1.000.000 đ
Mới,Asus,Intel Core i3,4 GB,< 128 GB,,Khác,13 - 14.9 inch,1 tháng,Nước khác,1.290.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Intel Core i7,8 GB,256 GB,,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,128 GB,,Onboard,13 - 14.9 inch,3 tháng,Mỹ,3.300.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,256 GB,,Onboard,17 - 18.9 inch,3 tháng,Mỹ,6.200.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,8 GB,256 GB,,,13 - 14.9 inch,Bảo hành hãng,Việt Nam,13.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,,,,,,,Bảo hành hãng,Đang cập nhật,11.500.000 đ
Mới,Dell,Intel Xeon,16 GB,256 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,9.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,3.490.000 đ
Đã sử dụng (chưa sửa chữa),Asus,,,,,,,Bảo hành hãng,Đang cập nhật,43.800.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Intel Core i5,4 GB,500 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,16 GB,256 GB,,AMD,15 - 16.9 inch,3 tháng,Mỹ,13.800.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Ryzen 5,8 GB,256 GB,,AMD,13 - 14.9 inch,4-6 tháng,Đang cập nhật,7.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Ryzen 9,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,>12 tháng,Đang cập nhật,23.000.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Intel Core i5,4 GB,500 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Nước khác,1.250.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Việt Nam,3.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,8 GB,128 GB,,Onboard,15 - 16.9 inch,1 tháng,Đang cập nhật,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,500 GB,,NVIDIA,15 - 16.9 inch,3 tháng,Đang cập nhật,13.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i7,16 GB,512 GB,,NVIDIA,13 - 14.9 inch,3 tháng,Việt Nam,23.888.888 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,4 GB,128 GB,,Khác,17 - 18.9 inch,Hết bảo hành,Mỹ,3.399.999 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Celeron,4 GB,,,,,Bảo hành hãng,Đang cập nhật,1.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,4.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,1 tháng,Việt Nam,2.400.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,1 tháng,Trung Quốc,3.600.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,,128 GB,,,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,3.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,,,Bảo hành hãng,Đang cập nhật,2.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,4 GB,128 GB,,,15 - 16.9 inch,Bảo hành hãng,Mỹ,1.800.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Acer,,,,,,,Bảo hành hãng,Đang cập nhật,8.700.000 đ
Mới,Lenovo,Ryzen 5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,Còn bảo hành,Việt Nam,15.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,16 GB,256 GB,,Onboard,11 - 12.9 inch,1 tháng,Nhật Bản,3.700.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,16 GB,512 GB,,NVIDIA,15 - 16.9 inch,>12 tháng,Việt Nam,12.800.000 đ
Đã sử dụng (chưa sửa chữa),Apple,,,,,,,Bảo hành hãng,Đang cập nhật,5.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Khác,> 32GB,1 TB,,Khác,15 - 16.9 inch,4-6 tháng,Mỹ,40.990.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Intel Core i5,4 GB,128 GB,,Onboard,15 - 16.9 inch,Hết bảo hành,Nước khác,700.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Intel Core i5,4 GB,250 GB,,NVIDIA,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,890.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,16.500.000 đ
Đã sử dụng (chưa sửa chữa),Acer,Ryzen 5,8 GB,512 GB,,NVIDIA,17 - 18.9 inch,Còn bảo hành,Việt Nam,11.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,Intel Core i7,8 GB,250 GB,,Khác,,1 tháng,Việt Nam,4.200.000 đ
Đã sử dụng (chưa sửa chữa),HP,Athlon,8 GB,256 GB,,AMD,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,6.500.000 đ
Đã sử dụng (chưa sửa chữa),Acer,,,,,,,Bảo hành hãng,Đang cập nhật,8.400.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i5,16 GB,512 GB,,Onboard,15 - 16.9 inch,3 tháng,Mỹ,9.600.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,250 GB,,Onboard,13 - 14.9 inch,Còn bảo hành,Đang cập nhật,3.799.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i3,8 GB,256 GB,,Onboard,15 - 16.9 inch,3 tháng,Việt Nam,6.600.000 đ
Đã sử dụng (chưa sửa chữa),Dell,,,,,,,Bảo hành hãng,Đang cập nhật,6.900.000 đ
Đã sử dụng (chưa sửa chữa),MSI,Intel Core i7,8 GB,,,NVIDIA,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,10.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,128 GB,,Onboard,13 - 14.9 inch,1 tháng,Mỹ,3.550.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,4 GB,500 GB,,Khác,13 - 14.9 inch,Hết bảo hành,Nước khác,2.900.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Intel Core i5,8 GB,512 GB,,NVIDIA,15 - 16.9 inch,7-12 tháng,Việt Nam,13.400.000 đ
Mới,Microsoft,Ryzen 5,8 GB,256 GB,,NVIDIA,13 - 14.9 inch,>12 tháng,Mỹ,13.900.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Intel Core i5,8 GB,256 GB,,Onboard,11 - 12.9 inch,1 tháng,Việt Nam,3.200.000 đ
Đã sử dụng (chưa sửa chữa),HP,Intel Core i3,6 GB,320 GB,,Onboard,,Bảo hành hãng,Mỹ,1.400.000 đ
