,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price
39,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,20,Intel Core i7,8.0,AMD,128,Nước khác,desktop,1.750.000 đ
40,desktop,desktop,Mới,12,0,Intel Xeon,32.0,NVIDIA,128,Việt Nam,desktop,4.500.000 đ
41,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,AMD,16.0,AMD,250,Việt Nam,desktop,3.450.000 đ
42,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,8.0,Onboard,250,Việt Nam,desktop,1.900.000 đ
43,desktop,desktop,Mới,1,21,Intel Core i5,8.0,NVIDIA,500,Việt Nam,desktop,14.000.000 đ
44,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Pentium,4.0,Onboard,120,Nước khác,desktop,1.000.000 đ
45,desktop,desktop,Mới,0,0,Intel Core i3,16.0,NVIDIA,256,Nước khác,desktop,7.600.000 đ
46,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,4.0,Onboard,128,Nước khác,desktop,1.100.000 đ
47,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core 2 Duo,4.0,Onboard,128,Nước khác,desktop,800.000 đ
48,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,64.0,Onboard,512,Nước khác,desktop,26.000.000 đ
49,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,16,Intel Core i3,8.0,NVIDIA,256,Nước khác,desktop,2.800.000 đ
50,desktop,desktop,Mới,1,20,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,2.700.000 đ
51,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Xeon,64.0,AMD,512,Việt Nam,desktop,9.000.000 đ
52,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,AMD,8.0,AMD,128,Thái Lan,desktop,3.500.000 đ
53,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Pentium,4.0,Onboard,500,Nước khác,desktop,1.850.000 đ
54,desktop,desktop,Mới,1,0,Intel Xeon,16.0,Onboard,128,Việt Nam,desktop,3.890.000 đ
55,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,8.0,Onboard,128,Nước khác,desktop,4.090.000 đ
56,desktop,desktop,Mới,12,0,Intel Core i5,8.0,NVIDIA,128,Việt Nam,desktop,6.800.000 đ
57,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,8.0,Onboard,128,Trung Quốc,desktop,1.999.000 đ
58,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,Onboard,256,Nước khác,desktop,3.500.000 đ
59,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,2.300.000 đ
60,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i3,16.0,NVIDIA,256,Việt Nam,desktop,8.000.000 đ
61,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,32.0,NVIDIA,500,Nước khác,desktop,5.200.000 đ
62,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,32.0,Onboard,128,Nước khác,desktop,2.500.000 đ
63,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,8.0,Onboard,1000,Nước khác,desktop,8.000.000 đ
64,desktop,desktop,Mới,0,0,Intel Core i5,8.0,NVIDIA,128,Nước khác,desktop,6.300.000 đ
