,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price
429,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i7,16.0,NVIDIA,128,Việt Nam,desktop,10.000.000 đ
430,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i5,8.0,Onboard,256,Nước khác,desktop,4.000.000 đ
431,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,8.0,NVIDIA,128,Nước khác,desktop,5.000.000 đ
432,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,3.000.000 đ
433,desktop,desktop,Đã sử dụng (chưa sửa chữa),9,21,Intel Core i5,8.0,Onboard,256,Nước khác,desktop,5.250.000 đ
434,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,16.0,Onboard,250,Việt Nam,desktop,3.700.000 đ
435,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,16.0,AMD,500,Việt Nam,desktop,3.850.000 đ
436,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,Onboard,250,Nhật Bản,desktop,2.700.000 đ
437,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Pentium,8.0,Onboard,120,Việt Nam,desktop,1.800.000 đ
438,desktop,desktop,Mới,12,21,Intel Core i5,16.0,NVIDIA,512,Nước khác,desktop,16.900.000 đ
439,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,8.0,NVIDIA,128,Nước khác,desktop,2.800.000 đ
440,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,64.0,AMD,1500,Nước khác,desktop,14.500.000 đ
441,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,8.0,Onboard,120,Nước khác,desktop,1.500.000 đ
442,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,Onboard,256,Nước khác,desktop,9.500.000 đ
443,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,8.0,Onboard,256,Nước khác,desktop,7.500.000 đ
444,desktop,desktop,Đã sử dụng (chưa sửa chữa),2,21,Intel Core i3,16.0,AMD,128,Việt Nam,desktop,8.800.000 đ
445,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,8.0,NVIDIA,500,Việt Nam,desktop,900.000 đ
446,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,16.0,Onboard,256,Nhật Bản,desktop,3.900.000 đ
447,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i7,16.0,AMD,1500,Nước khác,desktop,6.800.000 đ
448,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,2.500.000 đ
449,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Xeon,32.0,AMD,500,Việt Nam,desktop,4.800.000 đ
450,desktop,desktop,Đã sử dụng (qua sửa chữa),0,18,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,2.100.000 đ
451,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,4.0,Onboard,120,Nhật Bản,desktop,1.100.000 đ
452,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Core i3,16.0,Onboard,128,Việt Nam,desktop,2.500.000 đ
453,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i5,8.0,NVIDIA,128,Nước khác,desktop,2.700.000 đ
454,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,NVIDIA,128,Nước khác,desktop,5.500.000 đ
455,desktop,desktop,Mới,0,0,Intel Core i3,8.0,NVIDIA,128,Nước khác,desktop,5.750.000 đ
456,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Pentium,4.0,Onboard,1000,Việt Nam,desktop,1.600.000 đ
457,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i7,8.0,NVIDIA,128,Nước khác,desktop,3.800.000 đ
458,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,1.300.000 đ
459,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Xeon,16.0,AMD,250,Nước khác,desktop,6.000.000 đ
460,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i3,8.0,Onboard,250,Việt Nam,desktop,6.599.000 đ
461,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,8.0,Onboard,128,Nước khác,desktop,6.999.999 đ
462,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,32.0,NVIDIA,500,Hàn Quốc,desktop,11.000.000 đ
463,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,2.900.000 đ
464,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,64.0,Onboard,128,Nước khác,desktop,20.000.000 đ
465,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,16.0,Onboard,256,Nước khác,desktop,5.200.000 đ
466,desktop,desktop,Đã sử dụng (chưa sửa chữa),2,20,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,3.200.000 đ
467,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,4.0,Onboard,256,Nước khác,desktop,2.700.000 đ
468,desktop,desktop,Mới,0,0,Ryzen 7,16.0,Onboard,128,Việt Nam,desktop,7.000.000 đ
469,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,16.0,NVIDIA,256,Nước khác,desktop,9.700.000 đ
470,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Xeon,32.0,NVIDIA,500,Nước khác,desktop,5.200.000 đ
471,desktop,desktop,Mới,1,0,Intel Core i5,16.0,NVIDIA,128,Mỹ,desktop,3.990.000 đ
472,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,64.0,NVIDIA,512,Nước khác,desktop,21.200.000 đ
473,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,18,Intel Core i5,0.5,Onboard,128,Mỹ,desktop,900.000 đ
474,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,8.0,Onboard,120,Mỹ,desktop,1.550.000 đ
475,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,NVIDIA,128,Nước khác,desktop,4.500.000 đ
476,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Xeon,64.0,NVIDIA,1500,Mỹ,desktop,15.000.000 đ
477,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,64.0,NVIDIA,1000,Nước khác,desktop,11.900.000 đ
478,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,8.0,Onboard,120,Mỹ,desktop,1.650.000 đ
479,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,20,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,2.200.000 đ
480,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,64.0,Onboard,500,Việt Nam,desktop,9.000.000 đ
481,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,16.0,Onboard,512,Nhật Bản,desktop,12.120.020 đ
482,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Core i5,16.0,AMD,250,Việt Nam,desktop,18.500.000 đ
483,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,64.0,Onboard,1500,Việt Nam,desktop,7.999.000 đ
484,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Ryzen 5,16.0,NVIDIA,1000,Nước khác,desktop,9.560.000 đ
485,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,18,Intel Core i5,16.0,NVIDIA,500,Nhật Bản,desktop,3.500.000 đ
486,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,16,Intel Core i5,8.0,Onboard,250,Nước khác,desktop,3.500.000 đ
487,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,8.0,AMD,128,Nước khác,desktop,3.100.000 đ
488,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i3,8.0,AMD,256,Nước khác,desktop,5.900.000 đ
489,desktop,desktop,Mới,5,20,Intel Core i3,8.0,AMD,128,Việt Nam,desktop,2.000.000 đ
490,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core 2 Duo,4.0,Onboard,120,Nước khác,desktop,650.000 đ
491,desktop,desktop,Mới,12,21,Intel Core i3,8.0,AMD,256,Việt Nam,desktop,4.000.000 đ
492,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i7,32.0,NVIDIA,256,Nước khác,desktop,10.500.000 đ
493,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,8.0,NVIDIA,128,Đài Loan,desktop,2.500.000 đ
494,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,8.0,AMD,128,Việt Nam,desktop,3.490.000 đ
495,desktop,desktop,Mới,0,0,Intel Core i3,16.0,NVIDIA,256,Việt Nam,desktop,6.500.000 đ
496,desktop,desktop,Mới,3,21,Intel Xeon,32.0,AMD,256,Việt Nam,desktop,6.500.000 đ
497,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,18,Intel Core i5,8.0,Onboard,250,Nước khác,desktop,1.999.999 đ
498,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,16.0,NVIDIA,128,Nước khác,desktop,2.800.000 đ
499,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,8.0,Onboard,120,Nước khác,desktop,1.550.000 đ
500,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,16.0,AMD,500,Nước khác,desktop,7.000.000 đ
501,desktop,desktop,Mới,12,21,Intel Core i5,8.0,NVIDIA,500,Việt Nam,desktop,1.800.000 đ
502,desktop,desktop,Mới,9,21,Intel Core i5,8.0,NVIDIA,256,Việt Nam,desktop,5.800.000 đ
503,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i3,8.0,NVIDIA,120,Nước khác,desktop,4.200.000 đ
504,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Core i5,8.0,NVIDIA,256,Nước khác,desktop,5.800.000 đ
505,desktop,desktop,Mới,12,21,Intel Xeon,32.0,NVIDIA,256,Việt Nam,desktop,8.500.000 đ
506,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Ryzen 3,8.0,AMD,250,Việt Nam,desktop,6.800.000 đ
507,desktop,desktop,Mới,12,0,Intel Core i3,8.0,NVIDIA,120,Mỹ,desktop,1.200.000 đ
508,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Pentium,4.0,Onboard,500,Việt Nam,desktop,1.200.000 đ
509,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Core i7,16.0,Onboard,512,Mỹ,desktop,28.500.000 đ
510,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,8.0,Onboard,120,Nước khác,desktop,1.000.000 đ
511,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,8.0,Onboard,128,Nước khác,desktop,2.400.000 đ
512,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,8.0,NVIDIA,500,Nước khác,desktop,2.000.000 đ
513,desktop,desktop,Mới,12,21,Intel Core i5,16.0,Onboard,256,Việt Nam,desktop,11.800.000 đ
514,desktop,desktop,Đã sử dụng (chưa sửa chữa),5,21,Intel Core i5,4.0,NVIDIA,320,Nước khác,desktop,2.600.000 đ
515,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,8.0,NVIDIA,128,Việt Nam,desktop,4.500.000 đ
516,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,8.0,Onboard,250,Nước khác,desktop,8.300.000 đ
517,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,64.0,Onboard,1500,Mỹ,desktop,22.800.000 đ
518,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,AMD,4.0,Onboard,250,Nước khác,desktop,600.000 đ
519,desktop,desktop,Đã sử dụng (chưa sửa chữa),5,21,Intel Core i5,8.0,Onboard,256,Nước khác,desktop,8.800.000 đ
520,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,2.800.000 đ
521,desktop,desktop,Mới,1,21,Intel Core i5,16.0,AMD,256,Việt Nam,desktop,8.300.000 đ
522,desktop,desktop,Mới,9,0,Intel Core i5,16.0,NVIDIA,256,Việt Nam,desktop,7.999.999 đ
523,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i3,8.0,NVIDIA,128,Nước khác,desktop,4.500.000 đ
524,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i3,32.0,AMD,128,Nước khác,desktop,6.300.000 đ
525,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i3,8.0,Onboard,256,Mỹ,desktop,7.450.000 đ
526,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i7,32.0,NVIDIA,1000,Nước khác,desktop,27.000.000 đ
527,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,18,AMD,8.0,AMD,500,Trung Quốc,desktop,2.000.000 đ
528,desktop,desktop,Đã sử dụng (chưa sửa chữa),2,0,Intel Core i3,16.0,Onboard,256,Mỹ,desktop,5.500.000 đ
529,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core 2 Duo,4.0,Onboard,250,Nước khác,desktop,950.000 đ
530,desktop,desktop,Mới,1,0,Intel Core i5,16.0,NVIDIA,500,Việt Nam,desktop,13.190.000 đ
531,desktop,desktop,Mới,9,21,Intel Xeon,8.0,NVIDIA,128,Việt Nam,desktop,4.000.000 đ
532,desktop,desktop,Mới,12,0,Intel Core i3,8.0,Onboard,256,Việt Nam,desktop,2.900.000 đ
533,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,8.0,NVIDIA,640,Việt Nam,desktop,350.000 đ
534,desktop,desktop,Đã sử dụng (chưa sửa chữa),5,21,Intel Core i7,16.0,NVIDIA,1000,Việt Nam,desktop,450.000 đ
535,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,8.0,Onboard,128,Nước khác,desktop,7.999.999 đ
536,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,NVIDIA,500,Việt Nam,desktop,950.000 đ
537,desktop,desktop,Mới,1,0,Intel Core i5,16.0,AMD,256,Việt Nam,desktop,7.890.000 đ
538,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,3.800.000 đ
539,desktop,desktop,Mới,12,0,Intel Core i5,16.0,NVIDIA,256,Việt Nam,desktop,10.990.000 đ
540,desktop,desktop,Mới,5,0,Intel Xeon,16.0,NVIDIA,128,Việt Nam,desktop,3.700.000 đ
541,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Xeon,16.0,NVIDIA,128,Nước khác,desktop,6.000.000 đ
542,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,AMD,16.0,NVIDIA,128,Nước khác,desktop,7.700.000 đ
543,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,0,Ryzen 5,16.0,Onboard,256,Việt Nam,desktop,6.500.000 đ
544,desktop,desktop,Mới,1,0,Intel Core i3,8.0,NVIDIA,256,Việt Nam,desktop,6.990.000 đ
545,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,4.0,Onboard,128,Mỹ,desktop,950.000 đ
546,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Atom,4.0,Onboard,128,Nước khác,desktop,3.000.000 đ
547,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core 2 Duo,4.0,Onboard,120,Nước khác,desktop,1.200.000 đ
548,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,Onboard,512,Nước khác,desktop,8.800.000 đ
549,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Xeon,64.0,NVIDIA,512,Nước khác,desktop,11.000.000 đ
550,desktop,desktop,Mới,12,21,Intel Core i5,8.0,NVIDIA,500,Việt Nam,desktop,10.500.000 đ
551,desktop,desktop,Mới,1,0,Intel Core i3,8.0,Onboard,128,Việt Nam,desktop,2.990.000 đ
552,desktop,desktop,Mới,12,0,Intel Xeon,32.0,NVIDIA,512,Việt Nam,desktop,21.000.000 đ
553,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,32.0,Onboard,128,Nước khác,desktop,6.999.999 đ
554,desktop,desktop,Mới,1,0,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,2.790.000 đ
555,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i3,8.0,Onboard,256,Việt Nam,desktop,5.700.000 đ
556,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,1.800.000 đ
557,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i5,32.0,Onboard,1000,Việt Nam,desktop,140.000.000 đ
558,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i7,8.0,NVIDIA,512,Đức,desktop,5.300.000 đ
559,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,5.750.000 đ
560,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i7,8.0,Onboard,1500,Việt Nam,desktop,3.900.000 đ
561,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i7,8.0,Onboard,128,Nước khác,desktop,2.250.000 đ
562,desktop,desktop,Mới,3,0,Intel Xeon,32.0,NVIDIA,256,Việt Nam,desktop,3.700.000 đ
563,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,20,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,3.900.000 đ
564,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,18,Intel Core i5,8.0,Onboard,500,Nước khác,desktop,1.600.000 đ
565,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i3,32.0,AMD,512,Nhật Bản,desktop,15.000.000 đ
566,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i3,4.0,Onboard,500,Nước khác,desktop,1.350.000 đ
567,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,18,Intel Core i5,8.0,Onboard,500,Nước khác,desktop,1.500.000 đ
568,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i7,16.0,AMD,128,Nước khác,desktop,3.650.000 đ
569,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,6.0,Onboard,128,Nước khác,desktop,750.000 đ
570,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i7,16.0,AMD,128,Việt Nam,desktop,11.000.000 đ
571,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,8.0,NVIDIA,1500,Nhật Bản,desktop,4.500.000 đ
572,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,4.0,Onboard,128,Nước khác,desktop,450.000 đ
573,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,18,Intel Core i5,4.0,Onboard,128,Nước khác,desktop,3.500.000 đ
574,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,18,Intel Core i7,4.0,Onboard,128,Nước khác,desktop,4.300.000 đ
575,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,18,Intel Core i7,4.0,Onboard,128,Nước khác,desktop,3.900.000 đ
576,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,18,Intel Core i3,4.0,Onboard,128,Nước khác,desktop,1.600.000 đ
577,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,18,Intel Core i3,4.0,Onboard,128,Nước khác,desktop,1.500.000 đ
578,desktop,desktop,Mới,3,18,Intel Core i5,4.0,Onboard,128,Mỹ,desktop,3.500.000 đ
579,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,4.400.000 đ
580,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,4.500.000 đ
581,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,18,Intel Core i5,4.0,Onboard,128,Nước khác,desktop,5.000.000 đ
582,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i3,8.0,NVIDIA,512,Việt Nam,desktop,8.500.000 đ
583,desktop,desktop,Đã sử dụng (chưa sửa chữa),9,20,Intel Core i5,2.0,Onboard,120,Nước khác,desktop,1.700.000 đ
584,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,2.600.000 đ
585,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,64.0,Onboard,250,Nước khác,desktop,8.500.000 đ
586,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,20,Intel Core i3,4.0,Onboard,128,Nước khác,desktop,5.300.000 đ
587,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,64.0,NVIDIA,256,Mỹ,desktop,3.799.000 đ
588,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,4.700.000 đ
589,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i7,8.0,Onboard,512,Mỹ,desktop,4.500.000 đ
590,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,8.0,Onboard,128,Nước khác,desktop,8.999.999 đ
591,desktop,desktop,Đã sử dụng (chưa sửa chữa),5,21,Intel Core i3,8.0,NVIDIA,250,Việt Nam,desktop,10.699.999 đ
592,desktop,desktop,Đã sử dụng (chưa sửa chữa),9,0,Intel Core i5,8.0,Onboard,256,Việt Nam,desktop,11.500.000 đ
593,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,18,Intel Core 2 Duo,8.0,Onboard,250,Nước khác,desktop,1.300.000 đ
594,desktop,desktop,Mới,3,21,Intel Core i5,64.0,Onboard,256,Việt Nam,desktop,7.850.000 đ
595,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i7,16.0,AMD,1500,Nước khác,desktop,6.500.000 đ
596,desktop,desktop,Mới,1,21,Intel Core i5,8.0,NVIDIA,128,Nước khác,desktop,6.350.000 đ
597,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Pentium,8.0,Onboard,128,Nước khác,desktop,3.500.000 đ
598,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i7,8.0,NVIDIA,250,Việt Nam,desktop,9.500.000 đ
599,desktop,desktop,Mới,0,21,Intel Core i5,8.0,Onboard,256,Việt Nam,desktop,21.000.000 đ
600,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i7,8.0,Onboard,128,Nước khác,desktop,2.250.000 đ
601,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,8.0,Onboard,128,Nước khác,desktop,1.100.000 đ
602,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,8.0,Onboard,128,Việt Nam,desktop,1.900.000 đ
603,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i3,16.0,NVIDIA,128,Việt Nam,desktop,6.000.000 đ
604,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,64.0,NVIDIA,1500,Nước khác,desktop,18.500.000 đ
605,desktop,desktop,Mới,9,0,Intel Core i3,16.0,NVIDIA,256,Nước khác,desktop,6.700.000 đ
606,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,16.0,Onboard,512,Nước khác,desktop,4.000.000 đ
607,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,64.0,Onboard,128,Nước khác,desktop,10.550.000 đ
608,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,18,Intel Core 2 Quad,4.0,Onboard,128,Mỹ,desktop,1.650.000 đ
609,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Ryzen 5,8.0,AMD,250,Nước khác,desktop,9.000.000 đ
610,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,32.0,NVIDIA,480,Việt Nam,desktop,3.999.999 đ
611,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,16.0,NVIDIA,120,Việt Nam,desktop,4.700.000 đ
612,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i5,8.0,Onboard,1000,Việt Nam,desktop,6.000.000 đ
613,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,2.750.000 đ
614,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,16.0,Onboard,128,Nước khác,desktop,4.350.000 đ
615,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,32.0,NVIDIA,1500,Việt Nam,desktop,32.000.000 đ
616,desktop,desktop,Đã sử dụng (chưa sửa chữa),9,21,Intel Core i7,32.0,AMD,1500,Nước khác,desktop,19.500.000 đ
617,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i3,8.0,NVIDIA,1000,Nước khác,desktop,8.000.000 đ
618,desktop,desktop,Đã sử dụng (chưa sửa chữa),9,21,Intel Core i5,64.0,AMD,1500,Nước khác,desktop,18.500.000 đ
619,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,16.0,Onboard,120,Nước khác,desktop,1.450.000 đ
620,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i7,32.0,AMD,1000,Nhật Bản,desktop,15.600.000 đ
621,desktop,desktop,Đã sử dụng (chưa sửa chữa),9,21,Intel Core i7,16.0,AMD,256,Nước khác,desktop,16.000.000 đ
622,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i3,8.0,NVIDIA,256,Nước khác,desktop,10.000.000 đ
623,desktop,desktop,Mới,1,0,Ryzen 5,16.0,NVIDIA,512,Nước khác,desktop,7.900.000 đ
624,desktop,desktop,Mới,12,21,Intel Core i5,16.0,NVIDIA,256,Việt Nam,desktop,7.000.000 đ
625,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,16.0,Onboard,250,Mỹ,desktop,3.700.000 đ
626,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i3,8.0,Onboard,256,Nước khác,desktop,1.750.000 đ
627,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,8.0,NVIDIA,1000,Nước khác,desktop,4.900.000 đ
628,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,3.900.000 đ
