,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price (VND),pc_cpu_label
79,15,101,1,0,21,9,8.0,2,500,2,0,6500000.0,2
80,15,101,0,1,0,9,32.0,1,1500,3,0,19900000.0,2
81,15,101,0,3,0,9,16.0,1,128,6,0,11830000.0,2
82,15,101,1,3,21,9,8.0,2,256,3,0,5800000.0,2
83,15,101,1,0,20,9,8.0,2,128,3,0,1490000.0,2
84,15,101,0,1,21,9,8.0,2,256,2,0,7500000.0,2
85,15,101,0,1,0,14,32.0,1,512,6,0,6500000.0,2
86,15,101,2,1,0,10,8.0,1,128,3,0,3750000.0,2
87,15,101,1,0,20,9,8.0,2,250,3,0,3600000.0,2
88,15,101,1,3,21,9,8.0,2,128,3,0,4700000.0,2
89,15,101,0,1,21,14,32.0,0,256,3,0,8000000.0,2
90,15,101,1,0,0,9,8.0,2,250,3,0,3700000.0,2
91,15,101,1,12,21,14,8.0,1,128,6,0,6700000.0,2
92,15,101,1,0,21,14,32.0,1,128,3,0,7000000.0,2
93,15,101,1,12,21,14,16.0,0,256,0,0,3990000.0,2
94,15,101,1,0,0,14,32.0,1,256,6,0,2350000.0,2
95,15,101,1,0,21,10,16.0,0,1000,3,0,6000000.0,2
96,15,101,1,1,0,9,32.0,2,512,1,0,6000000.0,2
97,15,101,2,0,0,10,8.0,2,128,3,0,2250000.0,2
98,15,101,0,0,21,9,16.0,1,256,3,0,7890000.0,2
99,15,101,1,0,20,9,4.0,2,128,6,0,4500000.0,2
100,15,101,0,9,0,14,64.0,0,256,5,0,4700000.0,2
101,15,101,0,1,0,9,32.0,1,512,6,0,25300000.0,2
102,15,101,0,12,21,9,8.0,2,128,3,0,5500000.0,2
103,15,101,1,3,0,9,8.0,2,128,3,0,2800000.0,2
104,15,101,0,1,21,14,64.0,1,500,6,0,10500000.0,2
105,15,101,1,1,0,10,16.0,1,250,6,0,6500000.0,2
106,15,101,2,0,0,10,8.0,1,128,3,0,1900000.0,2
107,15,101,2,0,0,9,8.0,1,500,3,0,3000000.0,2
108,15,101,1,0,20,9,8.0,2,120,3,0,2200000.0,2
109,15,101,1,0,0,8,8.0,2,120,3,0,2000000.0,2
110,15,101,1,12,0,9,32.0,1,250,6,0,10000000.0,2
111,15,101,0,9,0,14,64.0,0,256,5,0,5850000.0,2
112,15,101,0,1,21,10,8.0,2,320,1,0,5550000.0,2
113,15,101,1,1,21,9,8.0,1,120,6,0,3200000.0,2
114,15,101,1,9,21,8,16.0,1,250,3,0,11000000.0,2
115,15,101,1,0,21,14,16.0,1,750,6,0,8500000.0,2
116,15,101,1,0,0,8,8.0,2,128,3,0,1800000.0,2
117,15,101,0,0,20,8,64.0,2,120,6,0,5555555.0,2
118,15,101,1,1,21,14,32.0,0,500,1,0,4900000.0,2
119,15,101,1,12,21,14,32.0,0,1000,6,0,7500000.0,2
120,15,101,0,9,0,14,64.0,0,512,5,0,7990000.0,2
121,15,101,0,12,21,9,8.0,1,128,6,0,3800000.0,2
122,15,101,1,12,0,9,8.0,0,128,6,0,3400000.0,2
123,15,101,1,1,21,8,8.0,1,120,6,0,1700000.0,2
124,15,101,1,1,20,9,8.0,2,120,6,0,2400000.0,2
125,15,101,1,0,0,8,4.0,2,500,3,0,1900000.0,2
126,15,101,1,3,0,9,8.0,2,256,3,0,2500000.0,2
127,15,101,1,1,0,14,32.0,2,512,3,0,7200000.0,2
128,15,101,0,9,0,14,64.0,0,256,5,0,5300000.0,2
129,15,101,1,1,21,9,8.0,2,256,6,0,8800000.0,2
130,15,101,2,0,0,8,4.0,2,128,3,0,400000.0,2
131,15,101,0,1,0,10,32.0,1,1000,3,0,27200000.0,2
132,15,101,1,3,21,9,8.0,0,128,2,0,4800000.0,2
133,15,101,1,3,0,9,8.0,2,250,1,0,2900000.0,2
134,15,101,1,0,21,8,8.0,1,120,3,0,3000000.0,2
135,15,101,1,0,0,8,16.0,2,500,3,0,1500000.0,2
136,15,101,1,0,21,8,8.0,0,128,6,0,5499999.0,2
137,15,101,0,9,21,9,8.0,2,128,6,0,3850000.0,2
138,15,101,0,12,21,9,8.0,2,128,6,0,4000000.0,2
139,15,101,1,1,18,8,8.0,2,128,3,0,2500000.0,2
140,15,101,1,1,0,10,8.0,2,256,3,0,990000.0,2
141,15,101,1,12,21,9,8.0,0,128,3,0,7500000.0,2
142,15,101,1,3,0,9,8.0,2,256,2,0,1450000.0,2
143,15,101,1,1,0,8,8.0,2,128,0,0,1600000.0,2
